time,y
2004,59
2004.083333,57
2004.166667,60
2004.25,60
2004.333333,67
2004.416667,73
2004.5,77
2004.583333,69
2004.666667,59
2004.75,46
2004.833333,43
2004.916667,46
2005,59
2005.083333,57
2005.166667,62
2005.25,60
2005.333333,67
2005.416667,78
2005.5,81
2005.583333,69
2005.666667,53
2005.75,49
2005.833333,48
2005.916667,45
2006,57
2006.083333,56
2006.166667,60
2006.25,58
2006.333333,64
2006.416667,73
2006.5,78
2006.583333,67
2006.666667,50
2006.75,46
2006.833333,43
2006.916667,43
2007,54
2007.083333,56
2007.166667,61
2007.25,59
2007.333333,66
2007.416667,73
2007.5,77
2007.583333,66
2007.666667,51
2007.75,45
2007.833333,41
2007.916667,43
2008,53
2008.083333,54
2008.166667,61
2008.25,59
2008.333333,65
2008.416667,73
2008.5,76
2008.583333,69
2008.666667,47
2008.75,44
2008.833333,40
2008.916667,44
2009,54
2009.083333,55
2009.166667,60
2009.25,59
2009.333333,65
2009.416667,71
2009.5,77
2009.583333,64
2009.666667,51
2009.75,44
2009.833333,41
2009.916667,42
2010,53
2010.083333,52
2010.166667,58
2010.25,59
2010.333333,64
2010.416667,76
2010.5,77
2010.583333,66
2010.666667,50
2010.75,43
2010.833333,40
2010.916667,42
2011,55
2011.083333,62
2011.166667,66
2011.25,65
2011.333333,71
2011.416667,83
2011.5,93
2011.583333,77
2011.666667,57
2011.75,51
2011.833333,46
2011.916667,50
2012,60
2012.083333,62
2012.166667,65
2012.25,69
2012.333333,74
2012.416667,87
2012.5,89
2012.583333,78
2012.666667,57
2012.75,49
2012.833333,47
2012.916667,48
2013,54
2013.083333,57
2013.166667,62
2013.25,63
2013.333333,70
2013.416667,81
2013.5,91
2013.583333,77
2013.666667,54
2013.75,48
2013.833333,46
2013.916667,48
2014,58
2014.083333,59
2014.166667,64
2014.25,65
2014.333333,74
2014.416667,83
2014.5,91
2014.583333,74
2014.666667,52
2014.75,47
2014.833333,46
2014.916667,47
2015,54
2015.083333,59
2015.166667,68
2015.25,64
2015.333333,74
2015.416667,89
2015.5,95
2015.583333,76
2015.666667,60
2015.75,49
2015.833333,46
2015.916667,49
2016,57
2016.083333,65
2016.166667,74
2016.25,71
2016.333333,79
2016.416667,93
2016.5,100
2016.583333,84
2016.666667,61
2016.75,57
2016.833333,47
2016.916667,50
2017,57
2017.083333,61
2017.166667,71
2017.25,72
2017.333333,75
2017.416667,94
2017.5,98
2017.583333,80
2017.666667,62
2017.75,51
2017.833333,45
2017.916667,49
2018,60
2018.083333,63
2018.166667,68
2018.25,70
2018.333333,74
2018.416667,89
2018.5,100
2018.583333,78
2018.666667,61
2018.75,54
2018.833333,46
2018.916667,48
2019,57
2019.083333,61
2019.166667,70
2019.25,69
2019.333333,74
2019.416667,92
2019.5,93
2019.583333,76
2019.666667,58
2019.75,48
2019.833333,46
2019.916667,49
2020,57
2020.083333,58
2020.166667,53
2020.25,40
2020.333333,70
2020.416667,92
2020.5,84
2020.583333,72
2020.666667,59
2020.75,50
2020.833333,43
2020.916667,45
2021,52
2021.083333,62
2021.166667,72
2021.25,78
2021.333333,83
2021.416667,93
2021.5,96
2021.583333,78
2021.666667,62
2021.75,54
2021.833333,49
2021.916667,51
2022,58
2022.083333,63
2022.166667,70
2022.25,70
2022.333333,70
