time,co2
1959,315.42
1959.083333,316.31
1959.166667,316.5
1959.25,317.56
1959.333333,318.13
1959.416667,318
1959.5,316.39
1959.583333,314.65
1959.666667,313.68
1959.75,313.18
1959.833333,314.66
1959.916667,315.43
1960,316.27
1960.083333,316.81
1960.166667,317.42
1960.25,318.87
1960.333333,319.87
1960.416667,319.43
1960.5,318.01
1960.583333,315.74
1960.666667,314
1960.75,313.68
1960.833333,314.84
1960.916667,316.03
1961,316.73
1961.083333,317.54
1961.166667,318.38
1961.25,319.31
1961.333333,320.42
1961.416667,319.61
1961.5,318.42
1961.583333,316.63
1961.666667,314.83
1961.75,315.16
1961.833333,315.94
1961.916667,316.85
1962,317.78
1962.083333,318.4
1962.166667,319.53
1962.25,320.42
1962.333333,320.85
1962.416667,320.45
1962.5,319.45
1962.583333,317.25
1962.666667,316.11
1962.75,315.27
1962.833333,316.53
1962.916667,317.53
1963,318.58
1963.083333,318.92
1963.166667,319.7
1963.25,321.22
1963.333333,322.08
1963.416667,321.31
1963.5,319.58
1963.583333,317.61
1963.666667,316.05
1963.75,315.83
1963.833333,316.91
1963.916667,318.2
1964,319.41
1964.083333,320.07
1964.166667,320.74
1964.25,321.4
1964.333333,322.06
1964.416667,321.73
1964.5,320.27
1964.583333,318.54
1964.666667,316.54
1964.75,316.71
1964.833333,317.53
1964.916667,318.55
1965,319.27
1965.083333,320.28
1965.166667,320.73
1965.25,321.97
1965.333333,322
1965.416667,321.71
1965.5,321.05
1965.583333,318.71
1965.666667,317.66
1965.75,317.14
1965.833333,318.7
1965.916667,319.25
1966,320.46
1966.083333,321.43
1966.166667,322.23
1966.25,323.54
1966.333333,323.91
1966.416667,323.59
1966.5,322.24
1966.583333,320.2
1966.666667,318.48
1966.75,317.94
1966.833333,319.63
1966.916667,320.87
1967,322.17
1967.083333,322.34
1967.166667,322.88
1967.25,324.25
1967.333333,324.83
1967.416667,323.93
1967.5,322.38
1967.583333,320.76
1967.666667,319.1
1967.75,319.24
1967.833333,320.56
1967.916667,321.8
1968,322.4
1968.083333,322.99
1968.166667,323.73
1968.25,324.86
1968.333333,325.4
1968.416667,325.2
1968.5,323.98
1968.583333,321.95
1968.666667,320.18
1968.75,320.09
1968.833333,321.16
1968.916667,322.74
1969,323.83
1969.083333,324.26
1969.166667,325.47
1969.25,326.5
1969.333333,327.21
1969.416667,326.54
1969.5,325.72
1969.583333,323.5
1969.666667,322.22
1969.75,321.62
1969.833333,322.69
1969.916667,323.95
1970,324.89
1970.083333,325.82
1970.166667,326.77
1970.25,327.97
1970.333333,327.91
1970.416667,327.5
1970.5,326.18
1970.583333,324.53
1970.666667,322.93
1970.75,322.9
1970.833333,323.85
1970.916667,324.96
1971,326.01
1971.083333,326.51
1971.166667,327.01
1971.25,327.62
1971.333333,328.76
1971.416667,328.4
1971.5,327.2
1971.583333,325.27
1971.666667,323.2
1971.75,323.4
1971.833333,324.63
1971.916667,325.85
1972,326.6
1972.083333,327.47
1972.166667,327.58
1972.25,329.56
1972.333333,329.9
1972.416667,328.92
1972.5,327.88
