date,newcases,deaths
1/22/2020,0,0
1/23/2020,100,1
1/24/2020,287,8
1/25/2020,493,16
1/26/2020,683,14
1/27/2020,809,26
1/28/2020,2651,49
1/29/2020,589,2
1/30/2020,2068,39
1/31/2020,1690,42
2/1/2020,2111,46
2/2/2020,4749,104
2/3/2020,3100,64
2/4/2020,4012,66
2/5/2020,3745,72
2/6/2020,3162,70
2/7/2020,3594,85
2/8/2020,2731,87
2/9/2020,3031,100
2/10/2020,2609,107
2/11/2020,2043,100
2/12/2020,418,5
2/13/2020,15152,253
2/14/2020,6528,152
2/15/2020,2143,143
2/16/2020,2183,104
2/17/2020,2035,98
2/18/2020,1882,140
2/19/2020,500,115
2/20/2020,561,125
2/21/2020,630,4
2/22/2020,1762,208
2/23/2020,382,11
2/24/2020,568,160
2/25/2020,854,80
2/26/2020,973,61
2/27/2020,1344,43
2/28/2020,1424,59
2/29/2020,1871,70
3/1/2020,2379,54
3/2/2020,1980,90
3/3/2020,2612,74
3/4/2020,2322,96
3/5/2020,2711,95
3/6/2020,3930,114
3/7/2020,4131,104
3/8/2020,3854,242
3/9/2020,4323,194
3/10/2020,4786,275
3/11/2020,7504,352
3/12/2020,6756,321
3/13/2020,13194,503
3/14/2020,10888,426
3/15/2020,11233,666
3/16/2020,14567,715
3/17/2020,15174,851
3/18/2020,17560,954
3/19/2020,27087,1144
3/20/2020,29532,1575
3/21/2020,32433,1809
3/22/2020,34178,1830
3/23/2020,42551,2096
3/24/2020,41888,2426
3/25/2020,51480,2971
3/26/2020,60810,3256
3/27/2020,63913,3638
3/28/2020,69564,4049
3/29/2020,56503,3819
3/30/2020,65003,4368
3/31/2020,78439,5168
4/1/2020,86324,6644
4/2/2020,82414,6242
4/3/2020,84194,6500
4/4/2020,77156,6591
4/5/2020,71696,5920
4/6/2020,74670,6427
4/7/2020,72426,8516
4/8/2020,82153,7219
4/9/2020,87161,8153
4/10/2020,86421,7740
4/11/2020,75484,6982
4/12/2020,118581,6514
4/13/2020,71824,6512
4/14/2020,84603,7358
4/15/2020,78259,8765
4/16/2020,94454,7708
4/17/2020,87863,7592
4/18/2020,78220,6428
4/19/2020,76315,6099
4/20/2020,76481,6511
4/21/2020,76077,7197
4/22/2020,82014,7275
4/23/2020,84390,7272
4/24/2020,93602,6835
4/25/2020,83149,6048
4/26/2020,70762,4818
4/27/2020,71026,5445
4/28/2020,75753,6627
4/29/2020,78771,6980
4/30/2020,83699,6254
5/1/2020,88964,5594
5/2/2020,78390,6013
5/3/2020,74022,4277
5/4/2020,77611,4843
5/5/2020,79655,6147
5/6/2020,90438,6763
5/7/2020,90136,5869
5/8/2020,91893,5953
5/9/2020,84241,4917
5/10/2020,75213,4338
5/11/2020,76234,4079
5/12/2020,85403,5738
5/13/2020,84416,5437
5/14/2020,95643,5751
5/15/2020,96330,5756
5/16/2020,93907,4541
5/17/2020,78347,3878
5/18/2020,89139,4396
5/19/2020,95813,5186
5/20/2020,105421,5406
5/21/2020,106058,5035
5/22/2020,107248,5705
5/23/2020,104107,4453
5/24/2020,93646,3483
5/25/2020,88583,3614
5/26/2020,92358,4779
5/27/2020,102551,5220
5/28/2020,119993,4992
5/29/2020,121475,5156
5/30/2020,135040,4361
5/31/2020,102859,3289
6/1/2020,100280,3744
6/2/2020,123392,5264
6/3/2020,114479,5620
6/4/2020,138326,5527
6/5/2020,133562,5057
6/6/2020,129331,4140
6/7/2020,111011,3257
6/8/2020,103051,4455
6/9/2020,125995,5045
6/10/2020,137190,5428
6/11/2020,136192,5142
6/12/2020,127473,4744
6/13/2020,133901,4393
6/14/2020,131945,3781
6/15/2020,124922,4067
6/16/2020,143910,7119
6/17/2020,143202,5477
6/18/2020,143096,5355
6/19/2020,181132,5182
6/20/2020,185879,4482
6/21/2020,112857,4644
6/22/2020,142336,3867
6/23/2020,168184,5568
6/24/2020,171466,5529
6/25/2020,179510,5110
6/26/2020,192473,5083
6/27/2020,176397,4736
6/28/2020,168862,3619
6/29/2020,152714,4074
6/30/2020,183754,5250
7/1/2020,215131,5341
7/2/2020,204961,5507
7/3/2020,202626,5243
7/4/2020,189705,4795
7/5/2020,186215,3838
7/6/2020,168279,4279
7/7/2020,209581,6360
7/8/2020,215262,5632
7/9/2020,224571,5846
7/10/2020,233100,5747
7/11/2020,212799,5129
7/12/2020,192928,4314
7/13/2020,194478,4427
7/14/2020,221002,5978
7/15/2020,229776,5926
7/16/2020,244897,6172
7/17/2020,237438,5963
7/18/2020,235321,6533
7/19/2020,211887,4913
7/20/2020,208171,3944
7/21/2020,243121,6373
7/22/2020,275355,7400
7/23/2020,279642,6657
7/24/2020,283501,6442
7/25/2020,249547,6084
7/26/2020,211799,4385
7/27/2020,234394,5321
7/28/2020,263876,6935
7/29/2020,270238,6649
7/30/2020,281763,6775
7/31/2020,287454,6587
8/1/2020,246248,6012
8/2/2020,230603,4689
8/3/2020,206073,4830
8/4/2020,265315,7177
8/5/2020,275152,7404
8/6/2020,286718,6834
8/7/2020,282432,6754
8/8/2020,265229,6040
8/9/2020,232995,5194
8/10/2020,233220,5378
8/11/2020,265561,6615
8/12/2020,275076,6952
8/13/2020,290116,6793
8/14/2020,307084,6586
8/15/2020,249015,6032
8/16/2020,210077,4804
8/17/2020,212885,4642
8/18/2020,259417,7056
8/19/2020,277467,6407
8/20/2020,271470,6447
8/21/2020,261959,6195
8/22/2020,263526,5782
8/23/2020,202748,4334
8/24/2020,228200,4837
8/25/2020,245200,6567
8/26/2020,281681,6669
8/27/2020,287253,6215
8/28/2020,285278,5820
8/29/2020,260710,5787
8/30/2020,219727,4274
8/31/2020,264310,4430
9/1/2020,266881,6615
9/2/2020,281888,6302
9/3/2020,285413,6099
9/4/2020,301722,5862
9/5/2020,273692,5095
9/6/2020,228988,4135
9/7/2020,225236,5771
9/8/2020,246502,5123
9/9/2020,285293,6265
9/10/2020,304397,6035
9/11/2020,316356,6000
9/12/2020,288688,5057
9/13/2020,248823,3965
9/14/2020,267152,4604
9/15/2020,280530,6564
9/16/2020,304954,5869
9/17/2020,315568,5651
9/18/2020,326625,5855
9/19/2020,293081,5273
9/20/2020,255105,3988
9/21/2020,259929,4429
9/22/2020,284298,6151
9/23/2020,311639,6550
9/24/2020,320899,5660
9/25/2020,330005,6019
9/26/2020,285665,5431
9/27/2020,247064,3883
9/28/2020,262754,4120
9/29/2020,282774,6062
9/30/2020,324526,6426
10/1/2020,319101,8893
10/2/2020,329474,5685
10/3/2020,297289,4781
10/4/2020,260492,4025
10/5/2020,311370,4303
10/6/2020,316053,5860
10/7/2020,349240,5928
10/8/2020,359291,6385
10/9/2020,360384,6192
10/10/2020,355443,4904
10/11/2020,289426,4195
10/12/2020,290034,4131
10/13/2020,319364,5335
10/14/2020,380683,6167
10/15/2020,406931,6210
10/16/2020,410481,6220
10/17/2020,372034,5727
10/18/2020,331183,3981
10/19/2020,374958,4843
10/20/2020,388787,6628
10/21/2020,439485,6909
10/22/2020,482019,5958
10/23/2020,493822,7107
10/24/2020,456218,5918
10/25/2020,358779,4386
10/26/2020,483110,5837
10/27/2020,468402,7411
10/28/2020,521659,7183
10/29/2020,551378,7238
10/30/2020,571718,7774
10/31/2020,472025,6647
11/1/2020,439104,5356
11/2/2020,548423,6326
11/3/2020,565414,9575
11/4/2020,538606,9965
11/5/2020,619273,8717
11/6/2020,623037,9192
11/7/2020,599024,7786
11/8/2020,490822,6401
11/9/2020,509865,7581
11/10/2020,570896,9751
11/11/2020,624628,10416
11/12/2020,640120,9718
11/13/2020,660961,9932
11/14/2020,586676,9138
11/15/2020,490154,6959
11/16/2020,525845,8057
11/17/2020,602076,10974
11/18/2020,622204,11472
11/19/2020,653855,11142
11/20/2020,674148,11752
11/21/2020,592327,9304
11/22/2020,498012,7669
11/23/2020,534320,8729
11/24/2020,590626,12522
11/25/2020,617099,12024
11/26/2020,589026,10935
11/27/2020,695347,11521
11/28/2020,607340,9515
11/29/2020,495524,7657
11/30/2020,506727,9048
12/1/2020,614738,12450
12/2/2020,640265,12390
12/3/2020,690558,12709
12/4/2020,696404,12470
12/5/2020,642084,10601
12/6/2020,543831,8093
12/7/2020,535116,8844
12/8/2020,630408,12038
12/9/2020,665358,12557
12/10/2020,672060,12420
12/11/2020,705734,13185
12/12/2020,648474,10829
12/13/2020,538701,8257
12/14/2020,551207,9193
12/15/2020,648501,13226
12/16/2020,717605,13924
12/17/2020,738532,13171
12/18/2020,721410,13039
12/19/2020,635242,11256
12/20/2020,547173,8374
12/21/2020,546375,9486
12/22/2020,651296,13876
12/23/2020,682087,13747
12/24/2020,693271,12205
12/25/2020,518682,9030
12/26/2020,507054,7941
12/27/2020,413133,8118
12/28/2020,499319,9556
12/29/2020,671662,14973
12/30/2020,725307,15418
12/31/2020,839570,13495
1/1/2021,586637,10158
