rdate,Y,M,D,doy,time,datestr1,datestr2,datestr3,ndvi,blue,green,red,nir,swir1,swir2,sensor
3/27/1984,1984,3,27,87,1984.236986,LT4-1984-03-27,LT4-1984087ndvi,"1984,, 3/ 27",0.076793911,2806.74707,3025.679443,3152.502441,3676.963867,2373.397461,1650.800903,LT4
4/10/1984,1984,4,10,101,1984.275342,LT4-1984-04-10,LT4-1984101ndvi,"1984,, 4/ 10",0.332738109,546.7114868,772.9509888,1007.992859,2013.288208,2546.4104,1769.470093,LT4
5/12/1984,1984,5,12,133,1984.363014,LT4-1984-05-12,LT4-1984133ndvi,"1984,, 5/ 12",0.561761412,511.4609375,801.109314,781.5662231,2785.286377,2198.462646,1163.465698,LT4
6/29/1984,1984,6,29,181,1984.494521,LT4-1984-06-29,LT4-1984181ndvi,"1984,, 6/ 29",0.429427234,1910.860596,2145.768066,1997.613281,5004.52002,3351.231934,2326.273682,LT4
7/15/1984,1984,7,15,197,1984.538356,LT4-1984-07-15,LT4-1984197ndvi,"1984,, 7/ 15",0.409388401,2854.069336,2896.897949,2528.766357,6034.446289,2849.559326,1618.624878,LT4
9/17/1984,1984,9,17,261,1984.713699,LT4-1984-09-17,LT4-1984261ndvi,"1984,, 9/ 17",0.796097477,270.2310791,446.1559143,353.7097778,3115.690918,1598.394653,627.3684692,LT4
11/20/1984,1984,11,20,325,1984.889041,LT4-1984-11-20,LT4-1984325ndvi,"1984,, 11/ 20",0.401653305,639.2609863,753.8461304,851.4191895,1994.486694,2002.849243,1175.058105,LT4
4/29/1985,1985,4,29,119,1985.324658,LT4-1985-04-29,LT4-1985119ndvi,"1985,, 4/ 29",0.572036962,539.3754272,801.7324219,752.180603,2762.985596,1945.220947,1069.478516,LT4
9/4/1985,1985,9,4,247,1985.675342,LT4-1985-09-04,LT4-1985247ndvi,"1985,, 9/  4",0.730465766,549.4091187,689.2575684,565.1969604,3628.681885,1735.697021,651.2879028,LT4
9/20/1985,1985,9,20,263,1985.719178,LT4-1985-09-20,LT4-1985263ndvi,"1985,, 9/ 20",0.682746898,530.6055908,662.4046631,554.3252563,2940.204834,1644.834473,691.7962036,LT4
11/23/1985,1985,11,23,327,1985.894521,LT4-1985-11-23,LT4-1985327ndvi,"1985,, 11/ 23",0.388111056,477.1504517,593.3954468,698.5239258,1584.648315,1969.562256,1147.24939,LT4
3/15/1986,1986,3,15,74,1986.20137,LT4-1986-03-15,LT4-1986074ndvi,"1986,, 3/ 15",0.278412186,794.0282593,884.9360962,1027.681763,1820.708252,2081.253662,1230.053467,LT4
5/18/1986,1986,5,18,138,1986.376712,LT4-1986-05-18,LT4-1986138ndvi,"1986,, 5/ 18",0.708030404,633.7557373,880.6964722,656.435791,3840.167969,1930.005615,858.5307617,LT4
