Daily Averages - OZONE Time Range: 18/07/2011 00:00 to 19/07/2022 00:00,,,,,
Initial Data,RANDWICK OZONE 1h average,ROZELLE OZONE 1h average,NEWCASTLE OZONE 1h average,WOLLONGONG OZONE 1h average,RICHMOND OZONE 1h average
Date,RANDWICK OZONE 24h average [pphm],ROZELLE OZONE 24h average [pphm],NEWCASTLE OZONE 24h average [pphm],WOLLONGONG OZONE 24h average [pphm],RICHMOND OZONE 24h average [pphm]
18/07/2011,0.7,0.7,0.8,1.9,1.5
19/07/2011,1.1,1.2,1.8,2.4,1.7
20/07/2011,2.5,2.2,2.7,2.7,2.9
21/07/2011,2,1.7,2.4,2.1,
22/07/2011,2.7,1.7,2.9,2.2,2.5
23/07/2011,1.5,1.4,2.1,2.5,2.2
24/07/2011,0.7,0.6,1.7,1.3,0.7
25/07/2011,0.4,0.5,1,1.6,1.3
26/07/2011,0.6,0.5,1.2,1.8,1
27/07/2011,1.2,0.8,1.4,,0.9
28/07/2011,0.8,0.6,1,0.9,0.7
29/07/2011,0.6,0.5,0.7,1.5,0.8
30/07/2011,0.8,0.6,1,1.1,0.9
31/07/2011,1,0.7,1,1.1,0.8
01/08/2011,0.8,0.7,0.9,1,0.7
02/08/2011,0.7,0.4,1.1,1,0.8
03/08/2011,0.4,0.4,0.5,1.4,0.7
04/08/2011,1.2,0.7,0.9,1.1,1
05/08/2011,1.3,1.2,1.1,1.6,1.3
06/08/2011,1.6,1.6,1.2,2.4,1.4
07/08/2011,1.7,1.8,0.9,1.6,1.6
08/08/2011,0.9,1,1.8,1.8,1.3
09/08/2011,0.7,0.6,1.2,2.2,1.2
10/08/2011,0.6,1.1,1.6,2.3,1.3
11/08/2011,0.9,0.7,1.1,1.7,1
12/08/2011,2.2,1.2,2.7,2,1.9
13/08/2011,1.5,0.9,1.8,1.4,1.2
14/08/2011,1.6,1,2.1,1.4,1.4
15/08/2011,1.6,0.8,2,1.2,1.3
16/08/2011,1.8,0.9,1.3,1.6,1.1
17/08/2011,1.4,0.9,1.4,1.3,0.3
18/08/2011,1.7,2,2,2.5,2.4
19/08/2011,2,1.7,1.3,2.1,1.7
20/08/2011,3.4,2.9,3.4,3.1,2.8
21/08/2011,3.3,2.7,3.5,3,2.5
22/08/2011,3.2,2.3,3.4,2,2.1
23/08/2011,2.8,1,2.5,1.6,1.6
24/08/2011,1.7,1.5,1.4,1.9,1.2
25/08/2011,0.9,0.7,1,1.8,0.9
26/08/2011,1.9,1.3,1.5,1.9,1.5
27/08/2011,1.3,0.8,0.7,1.5,1.3
28/08/2011,2.3,1.8,1.8,2.1,1.7
29/08/2011,1.6,1,1.6,1.6,1.3
30/08/2011,2.9,1.9,2.4,2.2,
31/08/2011,2.2,1.2,1.9,1.8,
01/09/2011,3.1,1.6,,2.2,1.7
02/09/2011,3,1.7,,2.4,2
03/09/2011,1.9,1.7,2.1,2.1,1.5
04/09/2011,2.3,1.8,1.9,2.3,1.3
05/09/2011,1.9,1.6,1.7,1,1.3
06/09/2011,2.3,2.2,1.5,2.1,2
07/09/2011,2.5,1.7,2.3,2.3,2.2
08/09/2011,2.3,1.1,2.1,1.8,1.8
09/09/2011,1,1,1.1,1.5,1.2
10/09/2011,2.1,2.1,2.4,2.7,2.6
11/09/2011,2,2,2.4,2.5,2.1
12/09/2011,2.1,1.7,2.1,2.2,2.3
13/09/2011,1,1.4,1.5,2.4,1.6
14/09/2011,1.4,1.6,1.8,2.3,1.7
15/09/2011,2.5,,2.4,2.2,2.1
16/09/2011,1.4,,1.5,2.1,1.4
17/09/2011,2.7,1.8,2.2,2.2,2.5
18/09/2011,2.9,2.7,2.8,2.2,2.5
19/09/2011,3,2.5,2.6,2.1,2.4
20/09/2011,2.8,3.1,2.5,2.8,2.4
21/09/2011,2.6,1.8,2.3,2.5,2
22/09/2011,2.6,1.8,2.1,2.2,2.3
23/09/2011,2.4,2.2,2.5,2.3,2.4
24/09/2011,3.1,2.4,3.2,1.9,2.2
25/09/2011,3.1,2.6,3.2,2.8,2.2
26/09/2011,2.6,2.2,2.8,2.4,2
27/09/2011,2.2,1.8,1.7,2,1.4
28/09/2011,1.4,1,0.8,1.2,0.7
29/09/2011,2.8,2.9,2.3,3.2,3.1
30/09/2011,2,2.1,2,2.4,2.6
01/10/2011,2.2,2,1.4,2,1.8
02/10/2011,3,2.5,3.1,2.3,2.5
03/10/2011,2.4,2.1,2.8,2.4,2.3
04/10/2011,2,1.6,2.5,2.1,1.6
05/10/2011,,1.5,2.2,1.8,2
06/10/2011,1.7,1.4,1.2,1.3,1
07/10/2011,2.2,1.6,2.7,1.7,1.8
08/10/2011,1.9,1.6,3.3,1.6,2.2
09/10/2011,2.1,2.1,2.4,2.4,2
10/10/2011,2.1,1.7,2.1,1.9,2
11/10/2011,2.3,2,2.6,2.2,2.1
12/10/2011,2.2,1.9,2.6,2,2
13/10/2011,3,2.2,3.1,2.4,2.4
14/10/2011,3,2.4,2.5,2,1.1
15/10/2011,2.9,2.1,2.3,2.6,2.6
16/10/2011,2.6,2.2,2.5,2.5,2.1
17/10/2011,2.6,2,2.9,2.1,1.9
18/10/2011,2,1.5,2,1.9,2.1
19/10/2011,2,1.6,1.9,2.1,1.9
20/10/2011,,1.6,1.9,,2.2
21/10/2011,3.1,2.8,2.1,,3
22/10/2011,3.7,3.3,3.4,,3.2
23/10/2011,3.1,2.8,2,,3.3
24/10/2011,2.8,2.6,2.3,,2.7
25/10/2011,2.8,2.3,2.1,1.6,2
26/10/2011,2.9,2.2,3,2,1.9
27/10/2011,3,2,3,2.2,1.7
28/10/2011,2.9,2.1,,2.2,1.6
29/10/2011,2.1,1.6,1.4,2,1.4
30/10/2011,2.7,2.5,2.7,2.2,2.1
31/10/2011,2.2,2.2,2.6,2.2,2.1
01/11/2011,2.6,2.1,2.7,2.3,2.6
02/11/2011,2.3,2.3,2.4,2,2.3
03/11/2011,,2,1.7,2.1,1.9
04/11/2011,,1.9,2.2,2.1,2.5
05/11/2011,2,1.9,2,2.4,2.2
06/11/2011,2.5,2.7,2.6,3.2,3.2
07/11/2011,3.5,3.1,2.9,3.1,3.6
08/11/2011,3.2,2.8,2.9,3,2.8
09/11/2011,3.7,4.3,3.1,3.8,2.9
10/11/2011,3.1,3.4,3.2,3.3,3.5
11/11/2011,2.3,2.2,2.5,2,2.5
12/11/2011,2.6,2.5,2,2.5,3.2
13/11/2011,2.2,2.2,2.5,2.1,2.5
14/11/2011,2.6,3.3,3.2,2.6,3.1
15/11/2011,2.2,2,2.5,1.8,2.7
16/11/2011,1.3,1.4,2.2,1.3,1.6
17/11/2011,2,1.5,2.8,2.3,1.6
18/11/2011,3,2.4,3.4,3.2,2.4
19/11/2011,3,3.1,2.2,3.4,2.5
20/11/2011,3.2,3,3.7,2.9,2.9
21/11/2011,1.8,1.7,2.5,1.6,1.7
22/11/2011,1.3,1.4,2.7,1.4,1.8
23/11/2011,2.1,1.6,2.7,1.6,2.1
24/11/2011,2.1,1.6,2.2,1.7,1.2
25/11/2011,1.9,1.3,2,1.3,1.2
26/11/2011,1.8,2.3,1.5,2.5,1.9
27/11/2011,2,2.3,2.4,1.9,2.3
28/11/2011,1.7,1.7,2,2.1,2.1
29/11/2011,1.9,1.8,1.9,1.6,2
30/11/2011,1.5,2.1,1.9,1.6,2.2
01/12/2011,2.1,2,2.3,2,2.1
02/12/2011,1.9,1.5,2,1.8,1.8
03/12/2011,1.7,1.7,1.9,2,1.9
04/12/2011,1.6,1.7,1.6,,1.6
05/12/2011,1.3,1.3,1.6,,1.6
06/12/2011,1.3,1.1,1.8,,1.3
07/12/2011,1.3,0.9,1.5,1.4,1.5
08/12/2011,1.4,0.8,1.5,1,1.2
09/12/2011,1.4,1,1.5,1.2,1.6
10/12/2011,1.4,1,1.5,1.2,1.6
11/12/2011,1.7,2.1,1.2,1.7,1.9
12/12/2011,1.9,1.8,2.3,1.3,1.6
13/12/2011,1.6,1.8,1.9,1.7,1.8
14/12/2011,1.6,1.5,1.7,1.5,1.6
15/12/2011,1.4,1.4,1.8,1.3,1.7
16/12/2011,1.4,1,1.6,1.2,1.2
17/12/2011,1.8,1.4,1.9,1.3,1.8
18/12/2011,1.5,1.6,1.7,1.9,1.6
19/12/2011,1.5,1.3,1.1,1.2,1.3
20/12/2011,2,2.1,2.1,2.2,2.1
21/12/2011,1.6,1.6,2.3,1.5,1.7
22/12/2011,1.4,1,1.6,1,1.2
23/12/2011,1.5,1.1,1.2,1.2,1.6
24/12/2011,1.1,1,1.2,1,1.4
25/12/2011,1.3,1.5,1.5,1.5,1.4
26/12/2011,2.2,2.2,2.1,2.5,2
27/12/2011,1.9,2.1,2.1,1.7,2.3
28/12/2011,1.8,1.9,2,1.6,2.1
29/12/2011,1.8,1.7,1.9,1.6,2
30/12/2011,1.5,1.4,1.8,1.5,1.7
31/12/2011,1.3,1,1.7,1.3,1.5
01/01/2012,1.4,1.6,1.3,1.7,2.1
02/01/2012,1.5,1.7,1.6,1.6,2.2
03/01/2012,1.7,2,1.6,1.5,2.3
04/01/2012,2.5,2.4,2.7,1.7,2.6
05/01/2012,1.8,1.8,1.9,1.5,2.2
06/01/2012,1.7,1.6,1.8,1.2,1.3
07/01/2012,1.5,1.8,1.5,1.7,1.9
08/01/2012,1.7,1.9,1.7,1.4,2.6
09/01/2012,2,2,2.3,1.6,2.4
10/01/2012,2.3,2.5,2.1,2.3,2.2
11/01/2012,1.5,1.8,1.6,1.5,1.8
12/01/2012,1.3,1.4,1.7,1.4,1.7
13/01/2012,1.9,1.9,1.7,2.3,2
14/01/2012,1.6,1.4,2,0.9,1.4
15/01/2012,1.6,1.4,2.1,1.4,1.5
16/01/2012,1.3,1.2,1.2,1.4,1.3
17/01/2012,1.3,1.2,1.1,0.9,1.4
18/01/2012,1.1,1,1.2,1.4,1.9
19/01/2012,1.4,1.5,1.3,1.1,1.8
20/01/2012,1.7,1.5,2,1.4,1.9
21/01/2012,1.6,1.1,1.6,1.2,1.4
22/01/2012,1.7,1.6,1.6,1.5,1.5
23/01/2012,1.6,1.4,1.7,1.6,1.3
24/01/2012,1.4,0.9,1.3,1.1,0.9
25/01/2012,0.9,0.6,1,0.5,0.6
26/01/2012,1.1,0.7,1.2,0.8,1
27/01/2012,1.4,1.2,1.2,1.1,0.9
28/01/2012,1.2,1,1.1,0.8,1
29/01/2012,1,1.1,1,1.2,
30/01/2012,1.2,1.5,0.8,1.5,1.3
31/01/2012,1.7,1.9,1.9,1.6,1.9
01/02/2012,1.6,1.2,1.6,1.1,1
02/02/2012,1.7,1.1,1.7,0.7,0.8
03/02/2012,0.9,0.6,0.8,1,1.2
04/02/2012,1.4,1.4,2,1.1,2.3
05/02/2012,1.9,2.3,1.9,2.3,2.2
06/02/2012,1.6,1.6,1.7,1.4,1.8
07/02/2012,1.7,1.4,1.6,0.9,1
08/02/2012,1.5,1,1.7,0.7,0.9
09/02/2012,1.9,1.3,1.6,1.3,1.2
10/02/2012,1.4,1.4,1.5,1.4,1.5
11/02/2012,2,1.8,1.8,1.8,1.9
12/02/2012,1.9,1.6,2.5,1.3,1.8
13/02/2012,1.9,1.4,2.1,1.3,1.9
14/02/2012,1.7,1,1.4,1.3,1.5
15/02/2012,1.5,1,1.4,0.8,1.3
16/02/2012,1.3,1.4,1.2,1.3,1.2
17/02/2012,1.2,1.2,1.1,1.2,1.5
18/02/2012,2.4,2.4,2.5,2.2,2.9
19/02/2012,2.6,2.5,2.5,2.5,2.4
20/02/2012,2.7,2.5,2.6,2.5,2.7
21/02/2012,1.6,1.7,2.3,1.3,1.8
22/02/2012,1,1,1.1,0.8,1.5
23/02/2012,1.6,1.7,1.3,1.6,1.9
24/02/2012,1.4,1.1,1.1,1.9,2.4
25/02/2012,1.1,1.2,1,1.3,1.5
26/02/2012,1.5,1.3,1.2,1.3,1
27/02/2012,1.7,1.5,0.9,1.3,1.4
28/02/2012,2.2,2.1,1.4,1.2,1.5
29/02/2012,1.5,1.3,1.8,1.2,1.3
01/03/2012,1.5,1.8,1.2,1.6,1.6
02/03/2012,2.1,1.4,2.1,1.4,1.6
03/03/2012,2,1.3,1.6,1.7,1.4
04/03/2012,1.6,1.7,1.4,1.3,1.5
05/03/2012,2,1.8,2.1,2,2.1
06/03/2012,1.9,1.8,1.9,1.3,1.9
07/03/2012,1.5,1.5,2,1.3,1.7
08/03/2012,1,1,0.9,1.2,1.4
09/03/2012,1.4,1.2,1.6,1.3,1.1
10/03/2012,1.8,1.8,1.9,1.4,1.8
11/03/2012,1.7,1.8,2.2,1.3,2
12/03/2012,1.7,1.4,1.7,1.2,1.6
13/03/2012,1.6,1.3,1.6,1.6,1.6
14/03/2012,1.4,1.3,1.4,1.2,1.6
15/03/2012,1.8,1.4,1.5,1.3,1.6
16/03/2012,1.8,1.5,1.4,1.5,1.2
17/03/2012,2.4,2.2,2.1,1.7,1.8
18/03/2012,1.7,1.5,2,1.4,1.6
19/03/2012,1.7,1.3,2.1,1.3,1.3
20/03/2012,1.8,1.3,2.1,1,1.4
21/03/2012,1.1,1.3,1.3,1.3,1
22/03/2012,1.5,1.5,1.9,1.1,1.7
23/03/2012,1.4,1.6,1.7,1.6,1.6
24/03/2012,1.5,1.7,2.1,1.8,1.6
25/03/2012,1.6,1.5,2,1.5,1.5
26/03/2012,2.2,1.9,1.7,1.2,1.4
27/03/2012,1.7,1.6,1.4,1.8,1.6
28/03/2012,1.8,1.3,1.4,0.7,1.1
29/03/2012,1.6,1.6,1.2,1.3,1.6
30/03/2012,1.7,1.3,1.7,1.4,1.8
31/03/2012,2.1,2.2,1.8,1.8,1.7
01/04/2012,1.8,2.1,1.9,1.4,1.9
02/04/2012,1.5,1.4,1.9,1.3,1.8
03/04/2012,2.1,2.3,1.9,1.5,1.1
04/04/2012,1.9,1.7,1.5,1.2,1.8
05/04/2012,1.8,1.3,1.7,1.2,1.4
06/04/2012,1.8,2.1,1.8,1.9,1.6
07/04/2012,2.1,2.5,2,2,1.8
08/04/2012,2.4,2.6,2.4,1.8,1.8
09/04/2012,2,2.2,2.2,2.2,1.9
10/04/2012,1.8,2,2.1,1.8,2
11/04/2012,1.6,1.6,1.7,1.8,2
12/04/2012,1.2,1.3,1.3,1.2,1.5
13/04/2012,1.3,1.4,1.6,1.1,1
14/04/2012,1.5,1.6,1.3,1.7,1.2
15/04/2012,1.5,1.1,1.5,1.1,1.7
16/04/2012,1.6,1.4,1.7,1.3,1.7
17/04/2012,2.4,1.7,1.9,1.9,2.2
18/04/2012,2.2,1.9,1.3,1.6,
19/04/2012,2,1.4,1.3,1.5,1.5
20/04/2012,1.4,1.2,0.9,1.2,1.4
21/04/2012,1.2,1.4,1.4,0.9,1.8
22/04/2012,0.8,1,0.7,1.3,0.6
23/04/2012,0.8,1.2,0.4,1.2,1
24/04/2012,0.8,1.3,1,1.3,1.5
25/04/2012,1.7,2.2,1.8,2.2,2.1
26/04/2012,1.4,1.2,1.5,1.4,1.6
27/04/2012,1.1,1.1,1.2,1.2,1.4
28/04/2012,0.8,1.1,0.4,1.3,0.9
29/04/2012,2,1.7,1.9,1.8,1.7
30/04/2012,1.6,1,1.4,1.2,0.6
01/05/2012,1.2,1.1,1.2,1.4,0.9
02/05/2012,0.9,0.9,0.9,0.9,1.1
03/05/2012,1.4,1.2,1,1.3,1.1
04/05/2012,1.3,1.4,1.8,1.7,1.3
05/05/2012,1.2,1.4,1.7,1.7,1.2
06/05/2012,1.4,1.4,1.1,2,1.1
07/05/2012,0.6,0.8,0.6,1.3,0.7
08/05/2012,0.7,0.8,0.7,1,0.9
09/05/2012,0.8,0.8,0.6,1.3,0.7
10/05/2012,0.6,1,0.6,0.9,1
11/05/2012,0.4,0.4,0.6,1.3,0.5
12/05/2012,1.8,1.5,1.7,2.1,1.7
13/05/2012,2,2,1.8,2.3,1.8
14/05/2012,1.5,1.1,1.7,1.7,1.2
15/05/2012,1.3,1.1,1.2,1.3,1
16/05/2012,1,0.9,0.8,1.2,1
17/05/2012,1.1,0.9,0.9,1,1
18/05/2012,0.9,1,0.7,1,0.8
19/05/2012,1,1,0.8,1.4,0.9
20/05/2012,0.9,0.9,1.3,1.4,0.9
21/05/2012,0.7,0.8,0.7,0.8,0.9
22/05/2012,0.7,1,0.7,1.2,1
23/05/2012,1,1.3,0.6,0.8,0.7
24/05/2012,0.2,0.4,0,1.2,0.1
25/05/2012,1.2,,1.2,1.5,1.5
26/05/2012,1.7,1.9,1.7,2.4,2.3
27/05/2012,1.8,1.4,1.4,1.8,1
28/05/2012,,1.1,1.9,1.6,1
29/05/2012,,0.7,1.5,1.2,0.8
30/05/2012,,0.9,1.9,1.2,
31/05/2012,,0.9,1.1,1,0.7
01/06/2012,0.7,0.5,1.3,0.7,0.5
02/06/2012,1,0.7,0.8,0.9,0.8
03/06/2012,1,0.8,0.9,0.5,1.1
04/06/2012,0.8,1.1,1.1,1.6,
05/06/2012,2,2.2,2.2,2.1,2.3
06/06/2012,2.7,2.4,2.9,2.3,2.5
07/06/2012,1.3,1.2,1.2,1.5,1.6
08/06/2012,0.7,0.6,1,0.8,0.6
09/06/2012,0.7,0.7,0.6,0.8,0.6
10/06/2012,0.8,0.8,1.3,1.6,0.6
11/06/2012,2.6,1.6,2.7,2.3,2.2
12/06/2012,2.5,2.1,2.7,1.7,2
13/06/2012,1.2,0.7,1.9,1.3,1.7
14/06/2012,0.5,0.7,,1,1
15/06/2012,0.5,0.7,0.5,0.5,0.5
16/06/2012,0.3,0.4,0.3,0.7,0.3
17/06/2012,1.3,1.5,1.8,2.5,1.5
18/06/2012,0.9,0.8,1.2,2,1.1
19/06/2012,1.4,1.2,1.1,1.8,1
20/06/2012,0.5,0.6,0.7,0.8,0.4
21/06/2012,0.7,1.2,1,0.6,1
22/06/2012,1.4,1.9,1.1,2.1,2.3
23/06/2012,1.3,1.4,1.3,2.1,1.2
24/06/2012,1.2,1.5,1.1,2.3,0.9
25/06/2012,0.6,0.9,0.6,1.8,0.6
26/06/2012,,1,2.4,1.3,1.2
27/06/2012,2.2,0.9,2.1,1,1.1
28/06/2012,0.8,0.6,1.5,0.8,0.4
29/06/2012,0.6,0.6,0.5,0.9,
30/06/2012,0.7,0.8,0.9,1.2,0.3
01/07/2012,1.2,1.6,1.1,1.8,0.8
02/07/2012,1.1,1.4,1.6,,0.6
03/07/2012,1.2,1,1.2,,0.6
04/07/2012,1.7,1.6,2.2,2.3,1.3
05/07/2012,1.9,1.6,2,2.1,2.3
06/07/2012,1.9,1.5,1.8,1.7,1.7
07/07/2012,1.1,1,1.9,1.5,1
08/07/2012,1.1,1,0.9,1,0.9
09/07/2012,1.2,0.8,1,0.9,0.6
10/07/2012,1.5,1,1.9,1,0.2
11/07/2012,1,1.2,0.9,1.3,1.3
12/07/2012,0.3,0.5,0.2,0.5,0.2
13/07/2012,0.9,1.2,0.3,0.9,1.2
14/07/2012,1.1,1.6,1.3,1.2,1.4
15/07/2012,1.7,1.9,1.9,2.3,1.8
16/07/2012,1.6,1.3,1.2,1.8,1
17/07/2012,0.9,1,0.6,1.3,0.9
18/07/2012,0.9,0.8,0.9,1.4,1.1
19/07/2012,1.5,1.3,1.7,1.6,1.1
20/07/2012,1.6,1.2,2.2,1.3,0.9
21/07/2012,2.5,2.1,2.4,2.3,2.1
22/07/2012,2.9,2.1,2.8,2.2,2.5
23/07/2012,2.8,1.7,3.1,1.7,2.1
24/07/2012,0.9,0.8,1.2,1.2,1.4
25/07/2012,0.9,1,0.6,1.3,0.9
26/07/2012,1,1.2,0.7,1.4,1.5
27/07/2012,1,1,1.5,2.2,1.4
28/07/2012,1.5,1.4,1.4,2.1,1.3
29/07/2012,1.8,1.6,2,2.1,1.3
30/07/2012,2,2,2.3,2.3,1.3
31/07/2012,1.9,1.8,1.9,2.2,2
01/08/2012,1.9,1.7,1.7,2.2,1.3
02/08/2012,1.4,1.2,1.5,1.8,1.2
03/08/2012,0.8,0.9,0.9,1.7,0.9
04/08/2012,0.9,1.2,1.2,1.7,1.5
05/08/2012,1.4,1.7,1.1,1.4,1.8
06/08/2012,1.7,2.2,1.7,2.5,2.5
07/08/2012,1.3,1.5,1.2,1.9,1.2
08/08/2012,0.9,1.1,1.5,1.7,1.2
09/08/2012,1.8,2.2,2,2.1,2.2
10/08/2012,2.5,2.6,2.4,2.7,2.5
11/08/2012,3,2.8,2.4,2.9,2.8
12/08/2012,3.1,3.2,2.6,2.9,3
13/08/2012,1.7,1.9,1.8,1.7,1.9
14/08/2012,0.6,0.8,0.8,1,0.9
15/08/2012,1,1.2,0.9,,1.7
16/08/2012,2,1.8,1.2,1.8,1.5
17/08/2012,2.1,2.5,1.3,2.2,1.9
18/08/2012,2.1,2.4,2.3,2.2,2.5
19/08/2012,1.9,1.5,1.6,2.2,1.8
20/08/2012,1.5,1.2,1.4,1.7,1.2
21/08/2012,1.7,1.5,1.3,1.1,1
22/08/2012,2,1.7,1.4,1.6,1.5
23/08/2012,2.3,2.6,1.5,2.4,2.2
24/08/2012,2.2,2.7,2.1,2.6,2.6
25/08/2012,2,2,1.8,2.6,2.4
26/08/2012,2,1.9,1.9,2.4,1.7
27/08/2012,2,1.8,1.5,1.4,1.5
28/08/2012,2.1,1.8,1.4,1.6,1.2
29/08/2012,1.8,1.5,1.3,1.4,1.4
30/08/2012,2,2.2,2,2.4,2.3
31/08/2012,2.1,2.3,1.9,2.3,2.1
01/09/2012,2.2,2.2,2.3,2.3,1.6
02/09/2012,2,1.8,1.9,1.9,1.7
03/09/2012,1.2,1.1,,1.5,1.1
04/09/2012,1.6,1.4,,1.2,
05/09/2012,2.5,2.8,2.1,3,
06/09/2012,2.8,3.2,2.5,2.4,
07/09/2012,2.3,2.6,2.1,2.2,
08/09/2012,2.5,2.6,2.5,2.8,2.6
09/09/2012,2.6,2.4,2.2,2.1,2.1
10/09/2012,2.2,2.2,1.6,1.7,1.9
11/09/2012,2.9,2.2,2.6,1.9,2.1
12/09/2012,2.5,2.2,2.4,1.7,1.4
13/09/2012,1.8,1.8,1.9,1.9,1.8
14/09/2012,1.8,1.8,1.8,2.1,1.8
15/09/2012,2.3,1.9,2.1,2.3,1.7
16/09/2012,2.2,2.1,2,2,1.9
17/09/2012,2.9,2.7,2,1.7,1.9
18/09/2012,2.7,2.5,2.3,2.6,2
19/09/2012,1.9,1.8,2.2,2,1.6
20/09/2012,2.9,2.7,2.6,2.7,2.1
21/09/2012,1.9,1.5,2.2,1.8,2.2
22/09/2012,1.9,1.8,2.4,1.4,2
23/09/2012,2.2,2,1.6,2.2,2.1
24/09/2012,2.7,2.5,2.6,2.5,2.6
25/09/2012,2.4,2.3,2.4,2.2,2
26/09/2012,3,2.6,2.7,2.5,2
27/09/2012,2.3,2.4,1.8,2,2
28/09/2012,2.8,3.4,1.9,3.3,3
29/09/2012,3,3.3,3.1,2.9,2.9
30/09/2012,2.2,2.5,2.5,2.6,2.2
01/10/2012,2.5,2.6,2.7,2.3,2.5
02/10/2012,2.4,2.4,2.4,2.2,2.3
03/10/2012,2.6,2,1.7,2,2.4
04/10/2012,2.3,2.8,2.8,2.8,2.5
05/10/2012,3.2,3.3,2.9,3.1,2.9
06/10/2012,3,2.8,2.9,2.5,2.3
07/10/2012,2.8,2.9,2.9,2.5,2.5
08/10/2012,3.1,2.7,3,2.6,2.5
09/10/2012,3,2.7,2.6,2.3,2.4
10/10/2012,2.9,2.6,2.7,2.9,2.6
11/10/2012,2.2,2.1,2.2,2.1,2.4
12/10/2012,2.2,2.2,1.9,2,2
13/10/2012,1.8,1.7,2.2,1.9,1.7
14/10/2012,2.5,2.3,2.3,2.4,2.3
15/10/2012,2.2,2.2,1.7,2,2
16/10/2012,2.6,,2.1,3.2,2.5
17/10/2012,3,2.9,2.8,2.9,2.8
18/10/2012,3.1,2.9,2.9,2.6,2.7
19/10/2012,3,2.6,2.8,2.2,2.4
20/10/2012,2.8,2.9,3.4,1.9,2.5
21/10/2012,2.6,2.8,2.6,2.1,2.3
22/10/2012,2.9,2.3,2.9,1.9,2.2
23/10/2012,3,2.6,2.8,2.3,2.5
24/10/2012,2.1,2.1,1.7,2.1,1.8
25/10/2012,2.5,1.9,2,2.2,2.8
26/10/2012,3.2,2.9,3,2.8,2.6
27/10/2012,2.7,2.6,2.7,2.3,2.6
28/10/2012,2.7,2.5,2.6,2.1,2.2
29/10/2012,1.9,1.9,1.9,1.9,2
30/10/2012,2.2,2.1,2,1.9,2.3
31/10/2012,3.1,3.1,2.5,2.4,3.1
01/11/2012,2.7,2.7,2.7,2.6,
02/11/2012,2.8,2.8,2.7,2.4,
03/11/2012,2.2,1.6,2.3,2.1,1.9
